ZIP Code,Postal City 1
90713,Lakewood
91306,Winnetka
90002,Los Angeles
90506,Torrance
90069,West Hollywood
91361,Westlake Village
90064,Los Angeles
91308,West Hills
91702,Azusa
91104,Pasadena
93535,Lancaster
91345,San Fernando
91803,Alhambra
91791,West Covina
90006,Los Angeles
90018,Los Angeles
90822,Long Beach
90840,Long Beach
90220,Compton
91346,Mission Hills
91210,Glendale
90037,Los Angeles
91356,Tarzana
91724,Covina
90035,Los Angeles
91202,Glendale
91733,South El Monte
90620,Buena Park
90638,La Mirada
90045,Los Angeles
90602,Whittier
93552,Palmdale
90401,Santa Monica
93553,Pearblossom
91344,Granada Hills
90033,Los Angeles
90717,Lomita
90278,Redondo Beach
90501,Torrance
90802,Long Beach
91008,Duarte
90304,Inglewood
90660,Pico Rivera
90720,Los Alamitos
90245,El Segundo
91030,South Pasadena
90031,Los Angeles
90089,Los Angeles
91606,North Hollywood
90732,San Pedro
91204,Glendale
91208,Glendale
90301,Inglewood
91766,Pomona
90066,Los Angeles
91316,Encino
91101,Pasadena
90061,Los Angeles
93523,Edwards
91125,Pasadena
91773,San Dimas
91762,Ontario
90046,Los Angeles
90292,Marina Del Rey
91362,Westlake Village
93532,Lake Hughes
90014,Los Angeles
91224,La Crescenta
91355,Valencia
90291,Venice
93586,Lancaster
90036,Los Angeles
90610,Whittier
90716,Hawaiian Gardens
90071,Los Angeles
90275,Rancho Palos Verdes
91325,Northridge
90808,Long Beach
91334,Pacoima
91754,Monterey Park
90020,Los Angeles
90249,Gardena
90010,Los Angeles
90009,Los Angeles
91763,Montclair
91789,Walnut
90749,Carson
90723,Paramount
91605,North Hollywood
91010,Duarte
91732,El Monte
93550,Palmdale
91106,Pasadena
92821,Brea
91350,Santa Clarita
92833,Fullerton
90091,Los Angeles
91201,Glendale
91755,Monterey Park
90063,Los Angeles
91416,Encino
90034,Los Angeles
90021,Los Angeles
91722,Covina
90280,South Gate
91108,San Marino
91011,La Canada Flintridge
90806,Long Beach
90650,Norwalk
91311,Chatsworth
91382,Santa Clarita
91523,Burbank
90248,Gardena
90250,Hawthorne
90846,Long Beach
90222,Compton
91301,Agoura Hills
92372,Pinon Hills
91342,Sylmar
90604,Whittier
91320,Newbury Park
91390,Santa Clarita
93225,Frazier Park
91412,Panorama City
90056,Los Angeles
91310,Castaic
91020,Montrose
90261,Lawndale
91046,Verdugo City
91384,Castaic
90731,San Pedro
90001,Los Angeles
90260,Lawndale
91614,Studio City
91711,Claremont
90242,Downey
90221,Compton
91012,La Canada Flintridge
90029,Los Angeles
91723,Covina
91387,Canyon Country
90503,Torrance
91103,Pasadena
90266,Manhattan Beach
91206,Glendale
91381,Stevenson Ranch
90804,Long Beach
91801,Alhambra
